,content,Pro Trump,Pro Biden,Neutral,one_hot_labels,sarcasm_labels
0,"True #Trump got to the white working underclass with a simple message...Most Dems. donâ€™t get that. (Dislike Trump and his hateful rhetoric, by the way) Just agree with the notion that progressives are simply shutting people out. And Trump recruits them,cultish.",0,0,1,[0 0 1],regular
1,"Uh oh! @Twitter stops me from posting new emails that now implicate #HunterBiden with China.  

Rent my #DaddyForDollars racket. https://t.co/X6qskHrg8u",1,0,0,[1 0 0],regular
2,"Gildan Now Available At The Lowest Price Of The Season! An ADDITIONAL 15% OFF up for grabs!
Read more: https://t.co/6rkzag1mkL 
.
#Gildan #Apparelnbags #winters #cozy #warm  #smallbusinesses #Halloween #onlineshopping #uselections #discount #blog #Florida #trump #biden #marketing",0,0,1,[0 0 1],regular
3,"So happy for our fellow Americans ,yâ€™all voted for chance and hope ,I root for yâ€™all .The best news this year yâ€™all got rid of Trump ,man what a time to be alive ðŸ¾ðŸ¾ðŸ¾
Also F**K Donald Trump !",0,1,0,[0 1 0],regular
4,"@NZim22 @CollinKelley @Fred_Jackson__ @realDonaldTrump @JoeBiden I know denial is one of the seven stages of grief. All you #MAGA cry babies are still in denial. Like the orange baby says in his tweets sometimes, “SAD!” But don’t worry, @JoeBiden and @KamalaHarris will invest in healthcare instead of golf trips, you will get counseling. 😘",1,0,0,[1 0 0],regular
5,"Maroon 5 - Memories (Cover by Donald Trump) https://t.co/18C8EXTnwg via @YouTube

#ByeByeTrump 🥴",0,1,0,[0 1 0],regular
6,@Hk18mm Chung has become a hack on #FakeNews #MyPresident exposed her.,0,0,1,[0 0 1],regular
7,"â€œNo matter how corrupt, greedy, and heartless our government, our corporations, our media, and our religious and charitable institutions may become, the music will still be wonderful.â€ â€•Kurt Vonnegut, A Man Without A Country #USElections2020 #Biden #Trump",0,0,1,[0 0 1],regular
8,@RealJamesWoods We found #Biden’s voters... 💀😬 https://t.co/0UqwlsBN30,1,0,0,[1 0 0],regular
9,"Of course, Republicans who were ultra-concerned about Hillary’s health in 2016 will be SUPREMELY concerned about events in the White House, right? Uh ... right? #usa #Trump",0,1,0,[0 1 0],regular
10,So -5 days. But really ... it feels like a lifetime. #USElections #Trump #Biden,0,0,1,[0 0 1],regular
11,@RicoSuaveJD @DonaldJTrumpJr Ohh give me a break. No one is going to believe this. Biden being the most voted candidate in America history? More than Obama? No way.,1,0,0,[1 0 0],regular
12,"It's a beautiful day for Trump to win! #ArgentinaSupportsTrump
#Trump2020 #MAGA #Election2020 https://t.co/BdnGRA7I78",1,0,0,[1 0 0],regular
13,"Nature is wise

#ByeByeTrump https://t.co/gvIBINygCL",0,1,0,[0 1 0],regular
14,"Biden take note, and keep it in his Heart https://t.co/9lidrMMeUv",0,0,1,[0 0 1],regular
15,omg vote from above ft. joe biden is coming yall!!!! https://t.co/89uoXDdiBX,0,1,0,[0 1 0],regular
16,@JoeBiden Why didn't you say this 4 years ago?,0,0,1,[0 0 1],regular
17,"Good bye @realDonaldTrump, welcome @JoeBiden the “NEW PRESIDENT OF THE UNITED STATES” and @KamalaHarris “The VICE PRESIDENT OF THE UNITED STATES” may America see some good changes under your leadership. #ByeByeTrump",0,1,0,[0 1 0],regular
18,"Antifa BLM Nazi brown coat 🧥 thugs. Don’t forget America, they want to take your flag, your pledge of allegiance and you 1st, 2nd, 3rd, 4th and 5th amendment rights. And you allow them to attack your women, your standard bearers? Whining cowards! Freedom needs fighting for #MAGA https://t.co/y8iUaNJcJA",0,0,1,[0 0 1],regular
19,@kayleyc0rnelius Yeah; #Biden worked in #Florida and #Pennsylvania so good but these two state will go red as well. Actually I’m worry about #mitchmcconnell in #Kentucky,0,1,0,[0 1 0],regular
